Nazwa,Autor,Ilość,Dział
Zbiór umownych znakóœ taktycznych i topograficznych oraz skrótów używanych w obronie cywlnej,Ministerstwo obrony narodowej,1,Specjalności i techniki harcerskie
Wiadomości o żeglarstwie część 1,Dariusz Mikołajczyk,1,Specjalności i techniki harcerskie
Tropiciele,hm. B. Gajdeczkowska,1,Specjalności i techniki harcerskie
Terenoznawstwo dla wszystkich,Marian Laprus,1,Specjalności i techniki harcerskie
Tatrzański Park Narodowy,Sygnatura,1,mapy
"Tatry Polskie i Słowackie, Podhale",Sygnatura,1,mapy
Zakopane i okolice,Sygnatura,1,Specjalności i techniki harcerskie
Ambulans harcerski,hm. Wiktor Szyryński,1,Specjalności i techniki harcerskie
Vademecum młodego turysty,Stefan Sosnowski,2,Specjalności i techniki harcerskie
Medycyna w plecaku,"A. Jaczewski, K. Łodziński",1,Specjalności i techniki harcerskie
Łódź w baśni i legendzie,Wydawnictwo Literatura,1,Specjalności i techniki harcerskie
"Tatry, ilustrowany przewodnik z mapami",Galileos,1,mapy
Łódź daleka i bliska,ZAPOL,1,turystyka
Song book,Cimea,2,śpiewniki
Pionierka harcerska,Adam Hyży,3,specjalności i techniki
Zarys podstaw dydaktyki i metody nauczania w żeglarstwie,"Zbigniew Chodnikiewicz, Andrzej Janikowski",1,specjalności i techniki
Żagle i jachting motorowy,Pismo turystyczno - sportowe,1,specjalności i techniki
Tablice pomocnicze do szkoleń na stopień sternika jachtowego,Lech Biedrzyński,1,śpiewniki
Śpiewnik HAL '93,Praca zbiorowa,25,śpiewniki
Śpiewnik HAL '94,Praca zbiorowa,1,śpiewniki
Śpiewnik HAL '95,Praca zbiorowa,4,śpiewniki
Śpiewnik HAL '96,Praca zbiorowa,40,śpiewniki
Śpiewnik HAL '97,Praca zbiorowa,8,śpiewniki
Śpiewnik HAL '98,Praca zbiorowa,2,śpiewniki
Śpiewnik HAL '99,Praca zbiorowa,1,śpiewniki
Śpiewnik HAL 2000,Praca zbiorowa,7,śpiewniki
Śpiewnik HAL 2001,Praca zbiorowa,3,śpiewniki
Śpiewnik HAL 2002,Praca zbiorowa,4,śpiewniki
Śpiewnik HAL 2003,Praca zbiorowa,5,śpiewniki
Śpiewnik HAL 2004,Praca zbiorowa,9,śpiewniki
Śpiewnik HAL 2005,Praca zbiorowa,5,śpiewniki
Śpiewnik HAL 2006,Praca zbiorowa,9,śpiewniki
Śpiewnik HAL 2008,Praca zbiorowa,14,śpiewniki
Śpiewnik HAL 2009,Praca zbiorowa,4,śpiewniki
Śpiewnik HAL 2010,Praca zbiorowa,8,śpiewniki
Śpiewnik HAL 2011,Praca zbiorowa,2,śpiewniki
Śpiewnik HAL 2012,Praca zbiorowa,8,śpiewniki
Śpiewnik HAL 2013,Praca zbiorowa,1,śpiewniki
Śpiewnik HAL 2014,Praca zbiorowa,4,śpiewniki
Śpiewnik HAL 2016,Praca zbiorowa,1,śpiewniki
Śpiewnik HAL 2017,Praca zbiorowa,1,śpiewniki
Śpiewnik HAL 2018,Praca zbiorowa,1,śpiewniki
Śpiewnik HAL 2019,Praca zbiorowa,1,śpiewniki
Śpiewnik HAL 2021,Praca zbiorowa,1,śpiewniki
Śpiewnik 60 - lecia Hufca ZHP Łódź - Górna,Praca zbiorowa,2,śpiewniki
Śpiewnik REBRIK XVI rajd majowy,Praca zbiorowa,6,śpiewniki
Śpiewnik ZGRED XVIII Rajd Majowy,Praca zbiorowa,3,śpiewniki
Śpiewnik kursu Vademecum 2015,Praca zbiorowa,1,śpiewniki
Śpiewnik zlotowy Zlot pożegnalny Chyciny 2015,Praca zbiorowa,4,śpiewniki
"Śpiewnik Kurs Drużynowych Zuchowych ""Krok naprzód""",Praca zbiorowa,6,śpiewniki
"Śpiewnik HAL 1981 ""Z harcerską piosenką na ustach""",Praca zbiorowa,3,śpiewniki
Śpiewnik 40. rocznica utworzenia Hufca Łódź - Górna 1957 - 1997,Praca zbiorowa,1,śpiewniki
Śpiewnik Włóczyczłarów Chycina HAL 1897,Praca zbiorowa,1,śpiewniki
Śpiewniczek Trzy Piórka,Poczta harcerska Szczecin II,1,śpiewniki
Ognik ,Poczta harcerska Szczecin II,1,śpiewniki
Śpiewniczek Trzy Pióra (701),Poczta harcerska Szczecin II,1,śpiewniki
Śpiewniczek Trzy Pióra (703),Poczta harcerska Szczecin II,1,śpiewniki
Roztańczone nutki śpiewnik dla zuchów,Praca zbiorowa,7,śpiewniki
W kręgu zuchowej piosenki,Praca zbiorowa,5,śpiewniki
"Wesół i śmiały, piosenki zuchowe",Młodzieżowa Agencja Wydawnicza,12,śpiewniki
Nasze piosenki ,Młodzieżowa Agencja Wydawnicza,21,śpiewniki
Wierni prawu harcerskiemu. Pielgrzymka Związku Harcerstwa Polskiego do Ojca Świętego,GK,1,śpiewniki
"Śpiewniczek turystyczny, Kolumna 81",Marek Górki,1,śpiewniki
"Szałamaja, Kwidzyn",Hufiec ZHP w Kwidzynie,1,śpiewniki
Śpiewniczek turystyczny 3,Marek Górki,1,śpiewniki
Śpiewnik dla ciebie,Spółka Wydawnicza DIANA,1,śpiewniki
Śpiewnik,Wojewódzki dom kultury w Gorzowie Wlkp.,1,śpiewniki
Wiersze o górach,SKPB Łódź,1,śpiewniki
Nasze pieśni,Stowarzyszenie Szarych Szeregów - Kominy,1,śpiewniki
"""Plecak pełen nut"", śpiewniczek festiwalowy",Chorągiew Łódzka ZHP,6,śpiewniki
Śpiewnik turystyczny 4,Marek Górki,1,śpiewniki
"""Płynie pieśń po wodzie""","ZKT ""Rejsy""",1,śpiewniki
77 piosenek żeglarskich,akż-Łódź,1,śpiewniki
Śpiewnik pieśni patriotycznej,"Szczep ""Myśli Braterskiej""",1,śpiewniki
Z dziejów piosenki harcerskiej,Jadwiga Skiba ,3,śpiewniki
Roztańczone nutki ,Krzysztof Heering,3,śpiewniki
Załęczańskie śpiewanki,Praca zbiorowa,1,śpiewniki
Pieśni Ariadny,Praca zbiorowa,3,śpiewniki
Śpiewniczek bieszczadniczek 1980,Stanica Kieleckiej Chorągwi ZHP,6,śpiewniki
Śpiewniczek bieszczadniczek 1984,Stanica Kieleckiej Chorągwi ZHP,1,śpiewniki
Śpiewniczek bieszczadniczek ,Stanica Kieleckiej Chorągwi ZHP,1,śpiewniki
Śpiewniczek bieszczadniczek 1979,Stanica Kieleckiej Chorągwi ZHP,2,śpiewniki
Śpiewnik,Literat,1,śpiewniki
Śpiewniczek,Do użytku wewnętrznego!ogenjycazinagrostąnwew uktyżu oD,1,śpiewniki
Przeboje,Datajana,2,śpiewniki
Pod namiotem słońca,Dziennik Wieczorny,2,śpiewniki
Kolorowe piosenki 1,Lech Krasucki,1,śpiewniki
Kolorowe piosenki 2,Lech Krasucki,1,śpiewniki
Kolorowe piosenki 3,Lech Krasucki,1,śpiewniki
Kolorowe piosenki 4,Lech Krasucki,1,śpiewniki
Zuchy śpiewają,Szczep Młodych Orląt,1,śpiewniki
Piosenki z Łopienki,Zbyszek Kaszuba,2,śpiewniki
Śpiewnik obozowy - Grotów 2010,XXIX ŁDH Gniazdo,1,śpiewniki
Druhna nutka ,ŁDK,2,śpiewniki
Wielki Śpiewnik Polski,Włodzimierz Wieczorek,1,śpiewniki
Stare Dobre Małżeństwo,Antologia,1,śpiewniki
Śpiewnik Polski ,In Rock ,1,śpiewniki
Rajdowy śpiewnik ,Studenckie towarzystwo Górnicze,1,śpiewniki
Śpiewaj z nami 5,Croma,1,śpiewniki
Śpiewaj z nami 4,Croma,1,śpiewniki
Poradnik maestra,Jan Szczepańczyk,1,śpiewniki
Śpiewniczek Bieliczek,Hufiec Nadodrzański,1,śpiewniki
Harcerska operacja Bieszczady,Stanica Chorągwi Lubelskiej,1,śpiewniki
Śpiewanie w Siedlcach - 19 ogólnopolski Harcerski  Festiwal Piosenki,CKiS Sokól Podlaski,1,śpiewniki
Śpiewnik paryski,brak,1,śpiewniki
Śpiewnik zastępu,Alina Leciejewska - Nosal,1,śpiewniki
Pieśni wielorybnicze,Zespół 4 refy,1,śpiewniki
Szkice z dziejów harcerstwa polskiego w latach 1911 - 1939,Eugeniusz Sikorski,14,Historyczne
Harcerstwo a narodziny i początki II Rzeczypospolitej (1910-1921) cz. I,Marian Marek Drozdowski,4,Historyczne
Harcerstwo a narodziny i początkki II Rzeczpospolitej (1910 - 1921). część II,Marian Marek Drozdowski,4,Historyczne
Harcerki 1939-1945,Krystyna Wyczańska,9,Historyczne
Zapiski dziennikarki warszawszkiej 1939 - 1947,Jadwiga Krawczyńska,1,Historyczne
Najmłodsi żołnierze walczącej Warszawy,Andrzej Czarski,1,Historyczne
Zwiadowcy z Szarych Szeregów ,Józef Krzyczkowski,1,Historyczne
Bohaterowie spod znaku szarej lilijki,Andrzej Szefer,1,Historyczne
Bo Polska to ty! Listy Olgi i Andrzeja Małkowskich z lat 1911 - 1933,Małgorzata Jarosińska,1,Historyczne
Leksykon; wszystko o Powstaniu Warszawskim,Lesław M. Bartelski,1,Historyczne
Okręg Łódzki Armii Krajowej,pod. red. Marka Budziarka,2,Historyczne
Zarys dziejów ZWM,Czesław Kozłowski,1,Historyczne
Pierwszy polscy podróżnicy w Stanach Zjednoczonych,Longin Pastusiak,1,Historyczne
Główne nurty ideowe w ZHP w latach 1918-1939,Jerzy Gaj,2,Historyczne
Polskie harcerki w dziesięcioleciu 1911-1921,Janina Opieńska0Blauth,2,Historyczne
Szkoła Orląt,Janusz Meissner,1,Historyczne
Krakowski Skauting 1910 - 1914,Wojciech Hausner,1,Historyczne
Konspiracyjne harcerstwo Chorągwii Łódzkich 1939-1945,Marek Pawłowski,1,Historyczne
Szare Szeregi ,Tomasz Adamczak,5,Historyczne
"Wspomnienia żołnierza baonu AK ""Zośka""","Julian Bogdan Deczkowski - ""Laudański""",1,Historyczne
Żołnierze łączności walczącej Warszawy,Kazimierz Malinowski,1,Historyczne
"Archiwalia, wybór tekstów",Andrzej i Olga Małkowscy,4,Historyczne
W służbie ojczyźnie. Z działalności Związku Harcerstwa Polskiego w okresie międzywojennym.,Praca zbiorowa pod. red. Moniki Kała,2,Historyczne
"1957-1997; 40 lat 18 ŁDH ""Wierchy""","18 ŁDH ""Wierchy""",4,Historyczne
"Harcerz, żołnierz, obywatel",Maria Wiśniewska,5,Historyczne
Harce młodzieży polskiej,"E. Piasecki, M. Schreiber",4,Historyczne
Druhno Oleńko! Druhu Andrzeju! Gawęda o twórcach Związku Harcerstwa Polskiego.,Barbara Wachowicz,5,Historyczne
Kamyk na szańcu - gawęda o druhu Aleksandrze Kamińskim w stuleciu urodzin .,Barbara Wachowicz,2,Historyczne
"Rudy, Alek, Zośka - gawęda o bohaterach ""Kamieni na szaniec""",Barbara Wachowicz,1,Historyczne
Harcerski słownik biograficzny tom III,Janusz Wojtycza,3,Historyczne
"Olga Malkowska, życie i ziałalność",Zofia Florczak,2,Historyczne
"""Wróbel"" z ""Kamieni na szaniec""",Juliusz Bogdan Deczkowski,2,Historyczne
Bogactwo życia i tweórczości Aleksandra Kamińskiego,Irena Lepalczyk,1,Historyczne
Druhna Oleńka zapiski,Naczelnictwo ZHR,1,Historyczne
Bitwy polskiego września 2,Apoloniusz Zawilski,1,Historyczne
Akcja Koppe,Piotr Stachiewicz,2,Historyczne
Benefis Konspiratora,Stanisław Miedza - Tomaszewski,1,Historyczne
Bezimienni ,Paweł i Maria Lisiewicz,1,Historyczne
"Dziennik harcerza i ""Szarotki""","Edwar Niesobski, Jadwiga Pfeiferówna",4,Historyczne
Cichociemni z Polski do Polski,Jan Szatsznajder,1,Historyczne
trzy młodości ruchu zuchowego ,Leon Dmytrowski,13,Historyczne
"My z Szarych Szeregów, opowieść z lat wojny",Jadwiga Stępieniowa,2,Historyczne
Harcerze z Szarych Szeregów ,Jerzy Jabrzemski,1,Historyczne
Od Brygady Karpackiej do Tengeru. Z dziejów harcerstwa polskiego na Wschodzie 1940 - 1948.,Tadeusz Truchanewicz,2,Historyczne
Andrzej Małkowski,Aleksander Kamiński,2,Historyczne
Harcmistrz Rzeczypospolitej Stanisław Sedlaczek,"Ks. Marian Sedlaczek, Wanda Sedlaczek",2,Historyczne
Zeszyty Historyczne Harcerstwa. Geneza Harcerstwa.,Marian Miszczuk,5,Historyczne
Harcerstwo żeńskie w Warszawie w latach 1911 -1949,Anna Zawadzka,1,Historyczne
"Batalion ""Zośka""",Anna Borkiewicz-Celińska,3,Historyczne
Alert trwał 5 lat,Zygmunt Zonik,3,Historyczne
"""Jodła"" ",Wojciech Borzobohaty,1,Historyczne
Naczelne hasła moralne skautingu,ks. Wiktor Jacewicz,3,Historyczne
Odrodzenie harcerstwa w 1956 roku,Krzysztof Persak,3,Historyczne
"Kazimierz Lutosławski, twórca krzyża harc erskiego",Ks. Pralat dr,5,Historyczne
Druh Wicek. Patron harcerzy polskich.,Jaromir Durczewski,2,Historyczne
Biuletyn Nr 1 Rok IV,Federacja Socjalistycznych Związków Młodzieży Polskiej,4,Historyczne
Pełnić służbę... Z pamiętników i wspomnień harcerek Warszawy 1939-1945,Donata Eska,3,Historyczne
Szare Szeregi. Harcerze 1939 - 1945. Tom 1,Jerzy Jabrzemski,1,Historyczne
Szare Szeregi. Harcerze 1939 - 1945. Tom 2,Jerzy Jabrzemski,3,Historyczne
Szare Szeregi. Harcerze 1939 - 1945. Tom 3 ,Jerzy Jabrzemski,2,Historyczne
25770 kilometrów ponad Afryką,Stanisław Skarżyński,2,Historyczne
"Gawędy o tych, które przewodziły cz. 1",Anna Zawadzka,1,Historyczne
"Gawędy o tych, które przewodziły cz. 2",Anna Zawadzka,2,Historyczne
"Gawędy o tych, które przewodziły cz. 3",Anna Zawadzka,2,Historyczne
Wśród Ludzi i Książek ,Irena Lepalczyk,3,Historyczne
Gawęda o Stefanie Mirowskim,Marian Michałowski,2,Historyczne
Gawęda nad Turawą,"Stanisław Broniewski ps. ""Stefan Orsza""",4,Historyczne
Szare Szeregi ,"Stanisław Broniewski ps. ""Stefan Orsza""",3,Historyczne
Robert Baden - Powell. Twórca skautingu.,Terescio Bosco,5,Historyczne
Szare szeregi jako organizacja wychowawcha,Tomasz Strzembosz,3,Historyczne
Kalendarium walki i męczeństwa narodu polskiego,Mieczysław Kasprzyk i inni,3,Historyczne
Harcerskieodznaki honorowe,Tomasz Sikorski,3,Historyczne
Powstanie Warszawskie,Jerzy Kirchmayer,1,Historyczne
Dziewczęta z parasola,Danuta Kaczyńska,1,Historyczne
Barykady Powstania Warszawskiego 1944,Romuald Śreniawa - Szypiowski,1,Historyczne
Pluton pancerny w Powstaniu Warszawskim,Anna Wyganowska-Eriksson,1,Historyczne
Zawisza Czarny. Rycerz bez skazy.,Stefan Wojtkiewicz ,1,Historyczne
"Pseudonim ""Jacek""",Zbigniew Zürn - Zahorski,1,Historyczne
Wyrwani z szeregów,Zygmunt Zonik,1,Historyczne
To nie takie proste,"Stanisław Broniewski ps. ""Stefan Orsza""",1,Historyczne
Harcerski Antologia Papieska,Prof. dr Marian Marek Drozdowski,1,Historyczne
303 wzloty i upadki,Antoni Ares,1,Historyczne
XXXVI rajd arsenał. Czas bohaterów ,Katarzyna Hołomiej,2,Historyczne
Studia z dziejów harcerstwa 1944 - 1989,pod. red. Marka Wierzbickiego,1,Historyczne
Bitwa pod Raszynem,W. Przyborowski,1,Historyczne
z harcerzami na Zawiszy Czarnym,Mariusz Zaruski,1,Historyczne
Warszawski dowcip w walce 1939 - 1944,Leszek Bubel,1,Historyczne
Bez broni,Eugeniusz Dąbrowski,1,Historyczne
Konspiracja płodzieży w okupowanej Polsce ,Bogdan Hillebrandt,1,Historyczne
Zośka i Parasol,Aleksander Kamiński,5,Historyczne
Parasol,Piotr Stachiewicz,2,Historyczne
"Wspomnienia żołnierzy baonu ""Zośka""",Tadeusz Sumiński,5,Historyczne
Na szlakach harcerskiego 1957-1997 cz. 1,Hm. Stefan Romaniwski,1,Historyczne
Na szlakach harcerskiego 1957-1997 cz. 2,Hm. Stefan Romaniwski,1,Historyczne
Ochrona porządku i bezpieczeństwa publicznego w Powstaniu Warszawskim,Janusz Marszalec,1,Historyczne
kartki z historii i tradycji Związku Harcerstwa Polskiego ,Jerzy Majka,7,Historyczne
Byli żołnierzami Parasola,D. Kaczyńska,4,Historyczne
Z dziejów Harcerstwa Polskiego,Wacław Błażejewski,5,Historyczne
Florian Marciniak. Naczelnik Szarych Szeregów.,"Stanisław Broniewski ps. ""Stefan Orsza""",3,Historyczne
Styl życia ,Stefan Mirowski,6,Historyczne
Polsce Ludowej na XXX urodziny. I,V Pleneum Rady Naczelnej Związku Harcerstwa Polskiego,2,Historyczne
Harcerstwo w obronie Warszawy 1939,Michał Haykowski,5,Historyczne
Moje harcerstwi,Irena Lepalczyk,3,Historyczne
Harcerze w bojach w latach 1914-1921 część druga,Inż. Władysław Nerkasz,1,Historyczne
Harcerze w bojach w latach 1914-1922,Inż. Władysław Nerkasz,1,Historyczne
Rocznik Historii Harcerstwa 3,Ogólnopolski Klub Autorów i Dokumentalistów Historii Harcerstwa,1,Historyczne
Rocznik Historii Harcerstwa 4,Ogólnopolski Klub Autorów i Dokumentalistów Historii Harcerstwa,1,Historyczne
Rocznik Historii Harcerstwa 5,Ogólnopolski Klub Autorów i Dokumentalistów Historii Harcerstwa,1,Historyczne
Całym życiem; Szare Szeregi w relacji naczelnika,"Stanisław Broniewski ps. ""Stefan Orsza""",5,Historyczne
Z głową na karabinie ,Lesław M. Bartelski,3,Historyczne
Orszak Majora Hubala,Marek Szymański,1,Historyczne
Akcja pod Arsenałem,"Stanisław Broniewski ps. ""Stefan Orsza""",2,Historyczne
Akcja Kutschera,Piotr Stachiewicz,4,Historyczne
"Batalion Harcerski ""Wigry""",Robert Bielecki,2,Historyczne
Krzyż harcerski,Tomasz Sikorski,6,Historyczne
Zeszyty Historyczne Harcerstwa. Wspomnienia harcerskie.,Antoni Nowak,1,Historyczne
Czuj duch!,X. Jan Zawada,1,Historyczne
Almanach Harcerski,Ks. Stefan Miecznikowski SJ,2,Historyczne
Michał Grażyński (nie okończona biografia),Aleksander Kamiński,1,Historyczne
Warszawskie Szare Szeregi 1939 - 1945,Marian Michałowski,2,Historyczne
Krakowskie Szare Szeregi,Hm. SStanisław Porębski,1,Historyczne
Twórcy polskiego skautingu - Olga i Andrzej Małkowscy,Edyta Głowacka - Sobiech,1,Historyczne
Wiosłem i piórem,Mścisław Wróblewski,1,Historyczne
Opowiadania z życia Skauta Naczelnego,E. Sk.,1,Historyczne
Piotr Pomian. Szef Głównej Kwatery Szarych Szeregów,"Danuta Kaczyńska, Godfryd Pyka",2,Historyczne
Młodzi z garnizonu Łódź promieniści,Stanisław Gajek,1,Historyczne
Geneza harcerstwa; teksty źrółowe,Marian Miszczuk,1,Historyczne
Stemple pocztowe o tematyce harcerskiej 1914-1985,"Ryszard Jakubowski, Witold Rusiniak",1,Historyczne
Rozkaz: zdobyć więzienie,"Stanisław Maria Jankowski, Stanisłąw Dąbrowa - Kostka",1,Historyczne
Geneza ZHP ,Jan Lewandowski,1,Historyczne
Największe bitwy XX wieku. Kreta 41,"Tomasz Nowakowski, Mariusz Skotnicki",1,Historyczne
Stanisław Dubois,Bożena Krzywobłocka,1,Historyczne
Szare Szeregi 1939 - 2009,"hm. Jerzy Jabrzemewski ps. ""Wojtek""",2,Historyczne
"Harcmistrzyni Anna Dyyńska-Paszkowska, Naczelniczka Harcerek 1928-1931",Magdalena Jędrzejewska,1,Historyczne
Harcerstwo w Tomaszowie Mazowieckim w latach 1911 - 1918,Antoni Woskowski,1,Historyczne
"Jan Kowalewski. Oto jest ktoś, kto odczytuje bolszewickie szyfry.",Bartłomiej Kluska,1,Historyczne
"Aleksander Napiórkowski. Towarzysz ""Stefan""",Bartłomiej Kluska,1,Historyczne
ks. Ignacy Skorupka. Właśnie dlatego chcę iść do wojska.,Bartłomiej Kluska,1,Historyczne
"Stefan Pogonowski. Obowiązek, wiara.",Bartłomiej Kluska,1,Historyczne
Zamach na Kutschere,Andrzej Czerkawski,1,Historyczne
Moje harcerskie lata,Antoni Wasilewski,1,Historyczne
"ul ""Kominy"" XXX Lat środowiska Szarych Szeregów",Środowisko Szarych Szeregów,1,Historyczne
"ul ""Kominy"" XXXV Lat środowiska Szarych Szeregów",Środowisko Szarych Szeregów,1,Historyczne
Harcerstwo na Warmii i Mazurach 1919-1982,Zofia Januszkiewicz,1,Historyczne
"Uwolnić ""Cyfrę""",Wydawnictwo Szarych Szeregów,2,Historyczne
Szare Szeregi na Rzeszowszczyźnie,Janusz Krężel,1,Historyczne
Sopockie Harcerstwo. klisze pamięci,Dariusz Szczecina,1,Historyczne
Narodowych symboli chwała,Stefan Wojtkiewicz ,2,Historyczne
"25 lat tradycji i osiągnięć Instruktorskiego Kręgu Pokoleń ""Romanosy""","hm. Róża Karwecka, hm. Stefan Romanowski",1,Historyczne
Walka o nowe harcerstwo,Pelagia Lewińska,1,Historyczne
Byłam sekretarką Rumkowskiego. Dziennik Etki Daum.,Elżbieta Cherezińska,1,Historyczne
"Myśl o Polsce, o mnie nie myśl wcale.","Waldemar Doniec, Zygmunt Luboński, Janusz Włodarski",2,Historyczne
Rzymianin z AK,Wojciech Wiśniewski,1,Historyczne
Biali harcerze,Roman Peska,2,Historyczne
"Związek Harcerstwo Polsiego w latach 1944 - 1950. Powstanie, rozwój, likwidacja.",Julian Kwiek,1,Historyczne
Płonie ogień harcerskich serc i wieją wichry ,Hm. Helena Ostaszewska,1,Historyczne
W harcerskiej służbie. Fakty i dokonania Związku Harcestwa Polskiego poza granicami kraju 1939 - 2000,Muzeum niepodległości ,1,Historyczne
Szkoła Instruktorska Harcerstwa Żeńskiego na Buczu,Anna Zawadzka,2,Historyczne
Ewolucja modelu wychowania skautingu w harcerstwie,Krzysztof Blusz,1,Historyczne
Ewolucja modelu wychowania skautingu w harcerstwie 1909-1945,Krzysztof Blusz,1,Historyczne
"70 lat harcerstwa polskiego. Historia, tradycja, zasłużeni dla związku.",Michał Haykowski,1,Historyczne
Harcerski trop prowadzi w przyszłość. Harccerstwo na ziemii łódzkiej 1910 - 2010,Agnieszka Kazek,2,Historyczne
Frombork - lipiec 1973,Praca zbiorowa,1,Historyczne
90 lat Hufca ZHP Skierniewice. 1919 - 2009,Hufiec Skierniewice,2,Historyczne
Z ziejów przemyskiego harcerstwa 1911-1981,Stanisław Krakowski,1,Historyczne
Bądź gotów w 50 rocznicę czerwonego harcerstwa TUR.,pod red. Janusza Radajczaka,1,Historyczne
"Ponury, nurt, ich żołnierze",Wydawnictwo Archidiecezji Warszawskiej,1,Historyczne
Harcerstwo według Fietkiewicza,Henryk Pytlik,1,Historyczne
Zlot ZHP 1988. Warmia i Mazury. 9 - 23 lipca 1988 r.,Jacek Zalewski,3,Historyczne
Z dziejów Związku Harcerstwa Polskiego w latach 1944-50,Adam Kiewicz,3,Historyczne
Operacja Łódzka 1914 roku - warto pamiętać.,pod red. Pawła Lewiaka i  Piotra Marciniaka,1,Historyczne
Zawisza to właśnie my; knypa zawiszaka,Jolanta Błażejczyk,1,Historyczne
Powstańcze biografie - Łódzkie echa Powstania Warszawskiego,IPN,1,Historyczne
"Olga Małkowska, Harcmistrzyni Rzeczypospolitej",Józef Bielecki,1,Historyczne
Nigdy Więcej Wojny. ,Stowarzyszenie Pax,1,Historyczne
6 Poznańska Drużyna Skautowa. 1 Lotnicza Drużyna Harcerzy. 1912 - 1982. Część II,Józef Derda,1,Historyczne
Zbrodnie hitlerowskie w powstaniu Warszawa Wola,Andrzej Czerkawski,1,Historyczne
Odziały szturmowe konspiracyjnej Warszawy 1939 - 1945.,Tomasz Strzembosz,1,Historyczne
Harcerskie środowiska Lubelszczyzny 1911-1939,Bolesław Zimmer,1,Historyczne
Rewolucja 1905. Przewodnik krytyki politycznej,pod red. Kamila Piskały i Wiktora Marcy,1,Historyczne
Kolumbowie rocznik 20. Tom 2.,Roman Bratny,1,Historyczne
Kolumbowie rocznik 20. Tom 3.,Roman Bratny,1,Historyczne
Materiały historyczne stowarzyszenia Szarych Szeregów nr 8,Praca zbiorowa,1,Historyczne
Związek Młodzieży Polskiej. ,Bogdan Hillerbrandt,1,Historyczne
Ruch młodzieżowy w Polsce,Bogdan Hillerbrandt,1,Historyczne
W rytmie fabrycznych syren. Łódź między wojnami.,Wacław Pawlak,1,Historyczne
"Kronika Strachowic, pobudka",Jerzy Krukowski,1,Historyczne
Tropami powstanczej przesyłki.,Jerzy Kasprzak,6,Historyczne
Powstanie Warszawskie,Jan M. Ciechanowski,1,Historyczne
Czerwone Harcerstwo TUR w Łodzi. Wspomnienia z lat 1929 - 1939,ZSMP,1,Historyczne
"Jan Rodowicz ""Anoda"" (1923-1949)",Instytut Pamięci Narodowej,1,Historyczne
KIHAM,Stanisław Czopowicz,1,Historyczne
Instruktor Wolontariusz,Emilia Kulczyk-Prus,23,instrukorzy
Teka edukacyjna - harcerskim tropem do niepodległości,Chorągiew Stołeczna ZHP,2,Program
Paszport do Europy - Zucholandia,hm. Sławomir Rudziński,1,Program
Od akceptacji do integracji,"Dorota Kołakowska, Alina Żwirlbińska",1,Program
Leksykon Harcerstwa,pod. red Olgierda Fretkewicz,6,Dla Każdego
Teka drużynowego - Szare Szeregi,Chorągiew Stołeczna ZHP,1,Program
Teka drużynowego - Harcerskim tropem do niepodległości,Chorągiew Stołeczna ZHP,1,Program
Miejska Impreza Na Orientację,Urząd Miasta Łodzi,1,Program
Nad czarną wodą płócienny nasz dom,Sylwester Banaś,3,Dla każdego
Encyklopedia Popularna PWN,PWN,1,Dla Każdego
Mury w Ravensbruck,Danuta Brzosko - Mędryk,2,Dla Każdego
Ilustrowany Atlas Świata,Reader's Digest Przegląd,1,Dla Każdego
Nowy ślad Czarnych Stóp,Seweryna Szmaglewska,2,Dla Każdego
Radość i satysfakcja 2.0,Grzegorz Całek,2,Dla Każdego
Harce młodzieży polskiej,"E. Piasecki, M.Schreiber",1,Dla Każdego
Pod totemem słońca,Antoni Wasilewski,3,Dla Każdego
Kamienie na szaniec,Aleksander Kamiński,8,Dla Każdego
Jak skauci pracują,Andrzej Małkowski,3,Dla Każdego
Wilk który nigdy nie śpi,Walter Hansen,1,Dla Każdego
Droga przez mękę,Aleksy Tołstoj,1,Dla Każdego
Księga Jaszczurki,Aimee Degallier- Martin,2,Dla Każdego
Jarek i Marek na tropie szpiega ,Cezary Leżeński ,1,Dla Każdego
Jarek i Marek bronią warszawy,Cezary Leżeński ,1,Dla każdego
Harcerski zostanie krzyż,Bronisław Kubiak,1,Dla Każdego
Ludzie wielkiej przygody,J.Chudzikowska i J. Jaster,1,Dla Każdego
Inne Historie,Bruno Ferrero,1,Dla Każdego
Bohater na ośle,Miodrag Bulatowic,1,Dla Każdego
Na szlaku chudego wilka,Henryk Glass,1,Dla Każdego
"""Hej, chłopcy..."" - zawiszacy z szarych szeregów.",Zygmunt Głuszek,1,Historyczna
Mleko i miód,Lauretta,1,Dla Każdego
Obrońcy Westerplatte,Zofia Meisner,1,Dla każdego
Wileka przygoda życia ,Andrzej Glass,1,Dla Każdego
Czarne Stopy,Seweryna Szmaglewska,1,Dla Każdego
Styl życia,Stefan Mirowski,1,Dla Każdego
Gawędy z drużynowym,Henryk Glass,6,Dla Każdego
Robert Baden-Powell,Teresio Bosco,1,Dla Każdego
Płonie ognisko,Andrzej Glass,2,Dla Każdego
Geneza Polskiego Skautingu,Henryk Bagiński,2,Dla Każdego
Obejmujesz drużynę - maile nocą pisane,"Janusz Sikorski ps. ""Wilk Ojciec""",1,Dla Każdego
Pełnić służbę Bogu i Polsce,Grzegorz Ciura,1,Instruktorzy
Rozwój idei puszczańskiej w skautingu 1902-1939,Tadeusz Wyrwalski,1,Dla Każdego
